scoreset,n_samples,mse,rmse,mae,r2
urn:mavedb:00000958-a-1,954,0.026338395134237646,0.16229108149937768,0.12081555487693248,0.7846360761740383
urn:mavedb:00000700-a-1,738,0.026525947122239643,0.16286788241467268,0.12533894159394804,0.7805373367530739
urn:mavedb:00000824-a-1,909,0.02682659751425656,0.16378827038056346,0.12118731605618766,0.7513992572098726
urn:mavedb:00000737-a-1,1058,0.02698676552919319,0.1642764911032409,0.12453639413492539,0.796199504399592
urn:mavedb:00001200-b-1,5402,0.027879723059712175,0.16697222241951556,0.1140243120550531,0.8122622352474103
urn:mavedb:00001062-a-1,714,0.027968720122309186,0.16723851267668338,0.11916559179673945,0.8154511024044876
urn:mavedb:00000971-a-1,674,0.02839046719688255,0.16849470969998598,0.13652459645453502,0.7892713998556768
urn:mavedb:00001069-a-1,760,0.029881206465371502,0.17286181320746205,0.1355793238981985,0.7249813706798333
urn:mavedb:00000115-a-10,469,0.030028868239161736,0.17328839614689073,0.11339193890698747,0.7119016112369533
urn:mavedb:00000736-a-1,622,0.030079779273754124,0.173435230774356,0.13225370631903663,0.7441297486465487
urn:mavedb:00000791-a-1,920,0.030908207280556977,0.17580730155643984,0.13333335491557965,0.6727676466042056
urn:mavedb:00000776-a-1,725,0.03133659437803597,0.17702145174536327,0.12880615934606696,0.7017709258230358
urn:mavedb:00000940-a-1,806,0.0314577906834686,0.17736344235345852,0.13162480676766386,0.7303040888793539
urn:mavedb:00000115-a-11,921,0.031524136976373886,0.17755037869960708,0.1362998369180893,0.8120880491219888
urn:mavedb:00000746-a-1,816,0.03198555063357996,0.17884504643288268,0.13388079220635998,0.6544200688084214
urn:mavedb:00000115-a-20,741,0.03240503439236544,0.18001398388004594,0.1233165217145087,0.7552489009271608
urn:mavedb:00000837-a-1,741,0.0327779008907855,0.18104668152381445,0.13990726938915185,0.7110380797217859
urn:mavedb:00001200-a-1,5402,0.033388437186136745,0.18272503163534204,0.13314438758715036,0.7577645399204298
urn:mavedb:00000840-a-1,718,0.03367318779586356,0.18350255528428905,0.12650537575968626,0.6485048174309227
urn:mavedb:00000976-a-1,934,0.03372833277045079,0.18365275051153138,0.12709023671571582,0.7298223632383374
urn:mavedb:00000115-a-19,348,0.03495556852486496,0.18696408351569818,0.12230381498916958,0.7174075540473451
urn:mavedb:00000115-a-16,409,0.03507471041445404,0.18728243487965987,0.13017038599356423,0.718858664387569
urn:mavedb:00001142-a-1,543,0.03585850685289045,0.18936342533047518,0.1476524564368262,0.7406207950355593
urn:mavedb:00000686-a-1,656,0.03636839192705514,0.19070498663395025,0.15350951187382306,0.7087062008654941
urn:mavedb:00001184-a-1,432,0.03715786678324253,0.19276375899852785,0.13854222202106548,0.809091192906165
urn:mavedb:00000761-a-1,625,0.037181415588101646,0.19282483135763828,0.14308172587488377,0.7318027097461426
urn:mavedb:00000115-a-21,499,0.037195877439241694,0.19286232768283623,0.13691580896136327,0.7888376654008618
urn:mavedb:00001127-a-1,524,0.03720506895151862,0.19288615541691587,0.12208266419036604,0.8942111811050715
urn:mavedb:00000078-b-1,1752,0.037554795379122596,0.19379059672523483,0.1485860722424836,0.7342219951963299
urn:mavedb:00001118-a-1,535,0.03801331164703782,0.19497002756074538,0.11144857085471407,0.7633918026398787
urn:mavedb:00000748-a-1,849,0.03816376854517728,0.19535549274381123,0.13267177120733648,0.5979571354040876
urn:mavedb:00000786-a-1,635,0.038206803402314304,0.19546560669927154,0.14586264980878466,0.6793666930465172
urn:mavedb:00001150-a-1,732,0.038290507206710796,0.1956796034509238,0.1580171225434838,0.6836931767969139
urn:mavedb:00001066-a-1,811,0.03890872011428521,0.19725293436165964,0.15331295586822993,0.7495195727534363
urn:mavedb:00000696-a-1,657,0.03905984497270263,0.19763563689958,0.1487305568638262,0.6310629628630134
urn:mavedb:00000706-a-1,702,0.039357038686237876,0.19838608491080686,0.1418108289464265,0.6465734957210538
urn:mavedb:00001063-a-1,819,0.039444560681853855,0.19860654742946884,0.14887877026774302,0.6571486331839392
urn:mavedb:00001174-a-1,693,0.0395731738374563,0.19893007273274774,0.15187963216195596,0.6712724931476197
urn:mavedb:00001149-a-1,1100,0.039646792993489444,0.19911502452976632,0.13447689543816238,0.728283968171284
urn:mavedb:00000115-a-18,499,0.03970371596312507,0.1992579131756756,0.14013544668344793,0.7858433012875581
urn:mavedb:00000777-a-1,581,0.039770830212674614,0.1994262525663926,0.15103338023839544,0.6682738838668811
urn:mavedb:00000990-a-1,759,0.04022681904619798,0.20056624602908132,0.15426217747386103,0.6871021413209452
urn:mavedb:00000853-a-1,631,0.04039424247688805,0.20098318953805078,0.15479299690088089,0.6123046677312386
urn:mavedb:00000935-a-1,345,0.040758040553357716,0.20188620694182582,0.14715734121797022,0.6576955222669998
urn:mavedb:00000848-a-1,660,0.04151616634631077,0.20375516274762406,0.15575160238016322,0.7896450401999803
urn:mavedb:00000115-a-17,813,0.041803644114243046,0.20445939478107394,0.1558678676206412,0.7460901896789955
urn:mavedb:00000917-a-1,634,0.04182926016778366,0.20452202856363336,0.1560282071524678,0.6087756367840875
urn:mavedb:00001175-a-1,597,0.042175993222192946,0.205367945946277,0.1613200329188595,0.6182302053061048
urn:mavedb:00001051-a-1,589,0.04225733953782669,0.20556590071757205,0.1636067956239214,0.704384650582242
urn:mavedb:00001079-a-1,629,0.04227699668136873,0.20561370742576657,0.1654218719009038,0.5470360955234974
urn:mavedb:00001037-a-1,810,0.04233051333510344,0.20574380509532586,0.15098515340321308,0.7715867500906477
urn:mavedb:00001085-a-1,937,0.04285284611517238,0.20700928992480597,0.14947846314883947,0.5848754497307926
urn:mavedb:00000684-a-1,657,0.04356681543159181,0.20872665242271246,0.16327495652393745,0.6164892732286176
urn:mavedb:00000839-a-1,672,0.0437019871349986,0.20905020242754754,0.16104582018542402,0.713267983415776
urn:mavedb:00001130-a-1,832,0.04406002874311277,0.20990480876605178,0.15731855864538538,0.6445199132115311
urn:mavedb:00000115-a-14,740,0.044265306514102584,0.21039321879305564,0.16275961587095406,0.772028253587086
urn:mavedb:00000762-a-1,1230,0.044344373497254994,0.21058103783877358,0.15500672032628035,0.6515725203779088
urn:mavedb:00000738-a-1,919,0.04482029495732228,0.21170804178708535,0.16292946795245405,0.6201085627213292
urn:mavedb:00000817-a-1,860,0.045178415739537764,0.21255214828257504,0.16588927162251263,0.628961325158127
urn:mavedb:00000793-a-1,870,0.04527619018823621,0.21278202505906416,0.16188589860751273,0.6866546508992555
urn:mavedb:00000720-a-1,498,0.04547901279012088,0.21325808962410048,0.16090618265805476,0.5654009699358895
urn:mavedb:00000115-a-9,925,0.04619736367158531,0.21493571985964854,0.15527456177193497,0.7293931574179466
urn:mavedb:00001049-a-1,981,0.046381878955245356,0.21536452575864334,0.16730711659776215,0.6518589565824643
urn:mavedb:00001033-a-1,278,0.04660970703018993,0.2158928137530055,0.1587049628771701,0.5174032449893581
urn:mavedb:00000811-a-1,719,0.04690403800010398,0.21657340095243455,0.155681559015566,0.9096994190376276
urn:mavedb:00000115-a-15,500,0.04735912253107675,0.2176215121054827,0.17310683328072593,0.6800376220724169
urn:mavedb:00001003-a-1,786,0.048289439605184545,0.21974858271484835,0.15607737091125795,0.5604390964052313
urn:mavedb:00000745-a-1,870,0.04842160010116512,0.22004908566309728,0.16404828808506872,0.5533268165727196
urn:mavedb:00001163-a-1,640,0.04864099108993281,0.2205470269351478,0.17513741089782547,0.635411505369391
urn:mavedb:00001179-a-1,472,0.04945653565903285,0.22238825431895645,0.1654423597087354,0.8100733152718462
urn:mavedb:00000747-a-1,902,0.05088224281278838,0.22557092634643405,0.1609831588624442,0.5363653637224489
urn:mavedb:00001108-a-1,297,0.05126531835981955,0.22641845852275286,0.18204468376298746,0.48715265324697254
urn:mavedb:00000115-a-28,498,0.05140425269461704,0.22672505969701948,0.16993735017567657,0.5705132705565346
urn:mavedb:00000922-a-1,602,0.052527993029336216,0.22918986240524736,0.17533572304753842,0.5269918604082061
urn:mavedb:00000698-a-1,444,0.05275475242715355,0.2296840273661918,0.17912882996151375,0.6869231329273755
urn:mavedb:00001050-a-1,580,0.05392608384557112,0.23221990406847368,0.1756712124286025,0.5422510120220518
urn:mavedb:00000952-a-1,857,0.05400886719385046,0.23239807915266955,0.16022213041138766,0.6215602394209343
urn:mavedb:00000841-a-1,757,0.05436977833825388,0.23317327964038648,0.17222022692114317,0.4544628511206452
urn:mavedb:00001017-a-1,929,0.05483954014695257,0.2341784365541639,0.18269634938186632,0.5764490616383888
urn:mavedb:00000733-a-1,958,0.05603146462280557,0.23670966313778904,0.18021701402003654,0.5301911927353513
urn:mavedb:00001021-a-1,673,0.05629687703853135,0.23726962940614912,0.17313189838274426,0.5941455001760096
urn:mavedb:00000744-a-1,549,0.058065175715357034,0.24096716729744955,0.14188738200784623,0.5279969824571169
urn:mavedb:00000978-a-1,637,0.0591452830780673,0.24319803263609535,0.184376466393649,0.4796150828626592
urn:mavedb:00000115-a-4,1832,0.059590369015784614,0.24411138649351163,0.16965531690658955,0.6652519636824901
urn:mavedb:00001013-a-1,698,0.060254858222888605,0.24546865018345745,0.19691730008987396,0.4899053539542305
urn:mavedb:00000970-a-1,907,0.060430116770986385,0.24582537861454903,0.18444019070792775,0.5056080241035834
urn:mavedb:00000731-a-1,706,0.061419045214302255,0.24782866100252057,0.20113946339522715,0.6205740262318667
urn:mavedb:00001064-a-1,743,0.06164169453993682,0.24827745475563587,0.17961554384026873,0.5858251484230562
urn:mavedb:00001100-a-1,635,0.061812818139722295,0.24862183761633308,0.19334136344163422,0.4637578276960178
urn:mavedb:00000946-a-1,686,0.062032800047775484,0.24906384733191506,0.18544413104266913,0.5211087436800731
urn:mavedb:00000828-a-1,360,0.06220111929518716,0.24940152223911377,0.19104139914205448,0.7032734763141528
urn:mavedb:00001032-a-1,222,0.062350554271501775,0.24970092965686327,0.1769981256008701,0.3082285772667436
urn:mavedb:00000838-a-1,633,0.062357231143567,0.24971429903705353,0.19980413746717995,0.49733591810086464
urn:mavedb:00001065-a-1,765,0.06330724328015722,0.2516093068234107,0.18698130612278105,0.5320557802507194
urn:mavedb:00000891-a-1,901,0.06338899010111107,0.25177170234383184,0.18250637363302685,0.6045061748020071
urn:mavedb:00000943-a-1,259,0.06389545688552108,0.2527755068940048,0.18493625823229706,0.5402013475100421
urn:mavedb:00001191-a-1,240,0.06406240943572176,0.2531055302353581,0.19512202789284752,0.7078731977287668
urn:mavedb:00000704-a-1,727,0.06449207886276988,0.2539529067814934,0.194662583509741,0.5367636202027843
urn:mavedb:00001068-a-1,740,0.0651031084877674,0.2551531079328006,0.18763994339167897,0.42653941284939234
urn:mavedb:00001189-a-1,228,0.06546143380005344,0.2558543214410369,0.19788277816104205,0.45631944480923314
